Question_ID,Questions,Answers,Tag
8927672,Bagaimana proses pengajuan surat pengalaman kerja?,Anda bisa mengajukan permintaan surat pengalaman kerja ke HR setelah menyelesaikan masa kerja atau pada saat resign. Prosesnya biasanya memakan waktu 3–5 hari kerja. Surat ini akan mencantumkan masa kerja dan posisi terakhir Anda sebagai bentuk pengakuan atas kontribusi selama di perusahaan.,Administrasi
1706961,Bagaimana prosedur perubahan data pribadi?,"Untuk perubahan data seperti alamat tempat tinggal, status pernikahan, atau nomor rekening, Anda dapat memperbaruinya melalui sistem HRIS internal atau formulir pembaruan data yang tersedia di Divisi HR. Perubahan data ini penting untuk memastikan hak-hak Anda seperti tunjangan, pajak, dan BPJS tetap sesuai. Harap lampirkan dokumen pendukung seperti KK atau surat perubahan dari instansi terkait.",Administrasi
1043721,Bagaimana cara mengganti kartu identitas karyawan yang hilang atau rusak?,"Jika kartu identitas karyawan Anda hilang atau rusak, segera laporkan ke Divisi HR atau petugas keamanan kantor. Anda akan diminta mengisi formulir kehilangan dan melampirkan surat pernyataan atau berita acara kehilangan dari kepolisian, tergantung pada kebijakan kantor. Penggantian kartu biasanya diproses dalam waktu 3–5 hari kerja. Kami memahami pentingnya akses, jadi selama menunggu, Anda akan diberikan ID sementara untuk keperluan masuk gedung.",Administrasi
7657263,Berapa hari jatah cuti tahunan saya?,"Setiap pegawai yang telah bekerja minimal 12 bulan secara terus-menerus berhak atas cuti tahunan selama 12 hari kerja. Ini sesuai dengan UU No. 13 Tahun 2003 Pasal 79 tentang hak cuti. Dalam lingkungan kerja BUMN, cuti ini sangat dijaga dan dicatat secara digital melalui HRIS, agar pegawai dapat merencanakan istirahatnya dengan nyaman dan tidak mengganggu kelancaran operasional perusahaan. Mengambil cuti bukan hanya hak, tapi juga cara perusahaan mendorong keseimbangan kerja dan hidup.",Cuti
1619387,Bagaimana cara mengajukan cuti?,"Pengajuan cuti dapat dilakukan melalui sistem HRIS internal atau dengan mengisi formulir cuti manual yang disetujui oleh atasan langsung. Idealnya, permohonan dilakukan minimal 3 hari kerja sebelumnya, kecuali dalam keadaan darurat. Di perusahaan besar seperti BUMN, sistem pengajuan cuti terintegrasi dengan kalender kerja organisasi agar jadwal kerja tim tetap efisien dan tidak tumpang tindih. HR akan membantu mencatat dan memverifikasi proses ini.",Cuti
1030153,Apakah cuti bisa diambil sekaligus?,"Ya, selama mendapatkan persetujuan dari atasan dan tidak mengganggu operasional tim, cuti tahunan dapat diambil sekaligus. Namun, disarankan untuk mempertimbangkan beban kerja dan menyusun cuti bersama rekan kerja agar tidak mengganggu pelayanan atau target tim. Di perusahaan dengan struktur besar seperti BUMN, pengambilan cuti secara sekaligus biasanya perlu koordinasi lebih awal.",Cuti
8022026,"	Apakah cuti tahunan bisa hangus?","Secara umum, cuti tahunan berlaku untuk satu tahun kalender. Jika tidak digunakan dalam periode tersebut, maka cuti dapat dianggap hangus, kecuali ada ketentuan khusus dalam Perjanjian Kerja Bersama (PKB) atau kebijakan internal yang memungkinkan akumulasi cuti. Dalam perusahaan milik negara, cuti yang tidak diambil sering kali dicatat dan dibahas dalam evaluasi kinerja, untuk memastikan keseimbangan beban kerja dan hak pegawai.",Cuti
1155199,Apakah cuti sakit memotong cuti tahunan?,"Tidak. Cuti karena sakit tidak akan mengurangi jatah cuti tahunan selama Anda menyertakan surat keterangan dari dokter. Ini sesuai dengan UU No. 13 Tahun 2003 Pasal 93, yang menjelaskan bahwa pekerja yang sakit tetap dianggap hadir secara administratif dan tetap berhak atas hak normatifnya. Perusahaan yang menerapkan sistem pelaporan digital biasanya mencatat cuti sakit secara terpisah agar tidak merugikan hak istirahat tahunan Anda.",Cuti
4194958,Bagaimana jika saya ingin mengajukan cuti melahirkan?,"Pegawai perempuan berhak atas cuti melahirkan selama 3 bulan, yaitu 1,5 bulan sebelum dan 1,5 bulan sesudah persalinan. Ini diatur dalam UU No. 13 Tahun 2003 Pasal 82, dan secara teknis pelaksanaannya difasilitasi penuh oleh perusahaan. Di lingkungan BUMN, cuti ini dicatat dengan sistem otomatis dan tidak akan memotong jatah cuti tahunan. Kami sangat mendukung keseimbangan antara karier dan peran sebagai ibu. Pastikan menginformasikan rencana cuti jauh-jauh hari untuk kelancaran penjadwalan tim.",Cuti
1667863,Apakah suami bisa mengambil cuti saat istri melahirkan?,"Ya, sesuai dengan UU No. 13 Tahun 2003 Pasal 93 ayat 2 huruf h, suami berhak mengambil cuti selama 2 hari kerja untuk mendampingi istri yang melahirkan. Di perusahaan kami, hal ini diproses dengan sistem yang sama seperti cuti biasa, dan tidak memotong jatah cuti tahunan. Keluarga adalah bagian penting dari keberhasilan karyawan, dan kami mendukung kehadiran Anda dalam momen-momen penting seperti kelahiran anak.",Cuti
